Name,State,Distance to the Capital (Km),Total Population,Total Area,Density,HDI,URL
Rio Claro,São Paulo,173,201418 hab.,"498,422km²","404,1hab./km²","0,803",https://pt.wikipedia.org/wiki/Rio_Claro_(S%C3%A3o_Paulo)
Rinópolis,São Paulo,525,"9,259 hab.","358,500km²",0hab./km²,0723,https://pt.wikipedia.org/wiki/Rin%C3%B3polis
Rincão,São Paulo,270,9098 hab.,"316,639km²","28,7hab./km²","0,734",https://pt.wikipedia.org/wiki/Rinc%C3%A3o
Rifaina,São Paulo,,4049 hab.,"171,583km²","23,6hab./km²","0,740",https://pt.wikipedia.org/wiki/Rifaina
Ribeirão Pires,São Paulo,35,125238 hab.,"99,175km²","1262,8hab./km²","0,784",https://pt.wikipedia.org/wiki/Ribeir%C3%A3o_Pires
Ribeirão Grande,São Paulo,230,7450 hab.,"332,071km²","22,4hab./km²","0,705",https://pt.wikipedia.org/wiki/Ribeir%C3%A3o_Grande
Ribeirão dos Índios,São Paulo,630,2187 hab.,"196,991km²","11,1hab./km²","0,754",https://pt.wikipedia.org/wiki/Ribeir%C3%A3o_dos_%C3%8Dndios
Ribeirão do Sul,São Paulo,400,4574 hab.,"203,356km²","22,5hab./km²","0,762",https://pt.wikipedia.org/wiki/Ribeir%C3%A3o_do_Sul
Ribeirão Corrente,São Paulo,426,4273 hab.,"150,456km²","28,4hab./km²","0,751",https://pt.wikipedia.org/wiki/Ribeir%C3%A3o_Corrente
Ribeirão Branco,São Paulo,310,18627 hab.,"697,5km²","26,7hab./km²","0,639",https://pt.wikipedia.org/wiki/Ribeir%C3%A3o_Branco
Ribeirão Bonito,São Paulo,270,12831 hab.,"471,498km²","27,2hab./km²","0,781",https://pt.wikipedia.org/wiki/Ribeir%C3%A3o_Bonito
Ribeirão Preto,São Paulo,315,728400 hab.,"650,916km²",1119hab./km²,"0,800",https://pt.wikipedia.org/wiki/Ribeir%C3%A3o_Preto
Ribeira,São Paulo,354,3358 hab.,"335,029km²",10hab./km²,"0,678",https://pt.wikipedia.org/wiki/Ribeira_(S%C3%A3o_Paulo)
